temp,feels_like,temp_min,temp_max,pressure,humidity,clouds,wind_speed,wind_deg,weather_now,weather_next_hour
290.52,290.64,290.52,290.52,998,89,43,3.02,252,Clouds,0
290.52,290.79,290.52,290.52,1006,95,100,3.22,82,Clouds,0
288.52,287.86,288.52,288.52,1029,67,1,2.38,102,Clear,0
300.52,300.47,300.52,300.52,1015,43,100,2.4,270,Clouds,0
293.52,293.07,293.52,293.52,1014,56,85,4.19,336,Clouds,0
302.52,302.14,302.52,302.52,1018,40,0,3.35,16,Clear,0
296.52,297.31,296.52,296.52,1002,92,52,3.22,202,Clouds,0
306.52,309.6,306.52,306.52,1014,48,10,4.16,174,Clear,0
296.52,296.53,296.52,296.52,1015,62,36,2.19,62,Clouds,0
294.52,294.46,294.52,294.52,997,67,55,4.87,273,Clouds,0
290.52,290.22,290.52,290.52,1015,73,76,2.3,26,Clouds,0
288.52,288.18,288.52,288.52,1006,79,83,4.79,323,Clouds,0
293.52,293.44,293.52,293.52,1008,70,100,2.21,202,Clouds,0
293.52,292.68,293.52,293.52,1008,41,85,4.71,349,Rain,1
299.52,299.52,299.52,299.52,1021,46,0,4.99,0,Clear,0
287.52,287.49,287.52,287.52,997,95,85,2.23,242,Clouds,0
300.52,302.65,300.52,300.52,1014,70,9,2.16,160,Clear,0
294.52,294.93,294.52,294.52,1004,85,100,2.12,44,Clouds,1
291.52,291.14,291.52,291.52,1027,66,100,1.65,306,Clouds,0
286.52,285.56,286.52,286.52,1034,63,6,0.77,240,Clear,0
288.52,288.41,288.52,288.52,1011,88,10,2.4,269,Clear,0
288.52,288.49,288.52,288.52,1013,91,6,2.36,327,Clear,0
294.52,294.46,294.52,294.52,1019,67,46,2.3,8,Clouds,0
288.52,288.07,288.52,288.52,1008,75,49,5.41,324,Clouds,0
295.52,295.35,295.52,295.52,1003,59,100,3.81,244,Clouds,0
299.52,299.52,299.52,299.52,1027,45,59,2.32,319,Clouds,0
289.52,288.81,289.52,289.52,1010,61,82,5.74,71,Clouds,0
288.52,288.1,288.52,288.52,1003,76,100,5.11,323,Clouds,0
294.52,293.84,294.52,294.52,1031,43,1,4.24,115,Clear,0
293.52,293.13,293.52,293.52,1013,58,49,1.31,355,Clouds,0
288.52,288.41,288.52,288.52,999,88,11,2.1,324,Clouds,1
291.52,291.71,291.52,291.52,1012,88,6,2.78,353,Clear,0
290.52,289.93,290.52,290.52,1004,62,81,6.89,329,Clouds,0
294.52,294.07,294.52,294.52,1015,52,54,2.71,313,Clouds,0
289.52,289.25,289.52,289.52,1011,78,98,1.21,64,Clouds,0
290.52,289.67,290.52,290.52,1034,52,9,0.85,233,Clear,0
299.52,299.52,299.52,299.52,1018,66,2,3.03,355,Clear,0
292.52,291.84,292.52,292.52,1004,51,90,4.28,3,Clouds,0
290.52,290.04,290.52,290.52,1028,66,0,1.52,249,Clear,0
293.52,293.13,293.52,293.52,1011,58,97,2.34,336,Clouds,0
294.52,294.7,294.52,294.52,1012,76,0,2.11,359,Clear,0
296.52,296.87,296.52,296.52,1018,75,0,2.48,6,Clear,0
289.52,289.64,289.52,289.52,992,93,100,5.13,242,Rain,0
293.52,293.0,293.52,293.52,1019,53,18,1.62,44,Clouds,0
288.52,288.51,288.52,288.52,997,92,77,2.3,251,Clouds,0
285.52,284.25,285.52,285.52,1031,55,5,1.97,150,Clear,0
294.52,294.67,294.52,294.52,997,75,82,4.98,263,Rain,1
297.52,297.29,297.52,297.52,997,49,94,4.65,264,Rain,0
286.52,286.21,286.52,286.52,1013,88,36,3.19,35,Clouds,0
293.52,293.39,293.52,293.52,1000,68,100,1.83,249,Clouds,0
301.52,304.25,301.52,301.52,1008,68,98,2.96,313,Clouds,0
289.52,289.25,289.52,289.52,1003,78,100,3.25,327,Clouds,0
297.52,297.81,297.52,297.52,1008,69,62,3.48,24,Clouds,1
292.52,292.5,292.52,292.52,1008,76,79,5.0,79,Clouds,0
299.52,299.52,299.52,299.52,1025,44,99,4.14,129,Clouds,0
287.52,286.92,287.52,287.52,1031,73,5,2.37,93,Clear,0
299.52,299.52,299.52,299.52,1028,56,93,3.36,115,Clouds,0
296.52,296.69,296.52,296.52,1006,68,98,1.68,316,Clouds,1
287.52,287.36,287.52,287.52,1007,90,100,4.6,316,Clouds,0
294.52,293.86,294.52,294.52,1016,44,2,4.26,2,Clear,0
286.52,286.21,286.52,286.52,1006,88,39,2.95,9,Clouds,0
298.52,298.13,298.52,298.52,1017,39,5,6.62,358,Clear,1
291.52,291.16,291.52,291.52,1024,67,11,2.51,240,Clouds,0
290.52,289.62,290.52,290.52,1030,50,0,3.14,330,Clear,0
301.52,301.0,301.52,301.52,1016,38,80,2.32,284,Clouds,0
295.52,295.93,295.52,295.52,1012,81,6,1.77,205,Clear,0
286.52,286.05,286.52,286.52,1014,82,17,3.57,12,Clouds,0
295.52,294.94,295.52,295.52,1012,43,15,5.57,306,Clouds,0
294.52,294.15,294.52,294.52,997,55,33,1.99,264,Clouds,0
294.52,294.44,294.52,294.52,1023,66,66,2.65,124,Clouds,0
290.52,290.04,290.52,290.52,1008,66,99,2.76,273,Clouds,0
288.52,287.91,288.52,288.52,996,69,94,5.19,357,Clouds,0
299.52,299.52,299.52,299.52,1001,68,58,5.66,328,Clouds,0
290.52,290.32,290.52,290.52,1011,77,88,5.1,360,Clouds,0
296.52,296.9,296.52,296.52,1008,76,91,1.68,295,Clouds,0
294.52,294.44,294.52,294.52,997,66,100,4.67,263,Clouds,0
294.52,293.91,294.52,294.52,1022,46,97,5.27,295,Clouds,1
295.52,294.83,295.52,295.52,1009,39,38,5.79,312,Clouds,0
292.52,292.47,292.52,292.52,1020,75,72,0.83,339,Clouds,0
287.52,287.49,287.52,287.52,992,95,100,6.32,340,Clouds,0
292.52,292.91,292.52,292.52,1006,92,50,0.59,63,Clouds,0
290.52,290.01,290.52,290.52,1010,65,76,5.15,75,Clouds,0
294.52,294.31,294.52,294.52,1021,61,96,4.04,299,Rain,0
288.52,288.04,288.52,288.52,998,74,38,0.23,94,Clouds,0
295.52,295.22,295.52,295.52,1004,54,18,3.44,265,Clouds,0
288.53,287.93,288.53,288.53,1005,69,100,5.25,325,Clouds,0
297.52,297.45,297.52,297.52,1024,55,6,1.7,190,Clear,0
293.52,292.71,293.52,293.52,1014,42,12,5.81,14,Clouds,0
288.52,288.18,288.52,288.52,1015,79,47,1.73,16,Clouds,0
297.52,297.5,297.52,297.52,1007,57,8,5.11,269,Clear,0
295.52,295.46,295.52,295.52,1027,63,100,1.57,115,Clouds,0
